key,count,percent_of_total_changes
payment:maestro,33,0.0001
placement:forward,33,0.0001
seamark:landmark:name,33,0.0001
socket:type2,33,0.0001
wifi,33,0.0001
COUNTYFP,32,0.0001
STATEFP,32,0.0001
barriers:obstacle_type,32,0.0001
cap_ind_g1,32,0.0001
capacity:parent,32,0.0001
capacity:persons,32,0.0001
class:bicycle,32,0.0001
healthcare_departments:general_medicine,32,0.0001
note:2,32,0.0001
parking:both:orientation,32,0.0001
payment:cards,32,0.0001
phone:mobile,32,0.0001
pos_sol:,32,0.0001
railway:turnout_side,32,0.0001
risk_impact_pop,32,0.0001
risk_level,32,0.0001
roof:type,32,0.0001
school:gender,32,0.0001
source:noname,32,0.0001
addr:conscriptionnumber,31,0.0001
beacon:major,31,0.0001
beacon:minor,31,0.0001
beacon:uuid,31,0.0001
capacity_water_storage,31,0.0001
crop7:name,31,0.0001
crop7:percentage,31,0.0001
crop7:time,31,0.0001
dhungedhara,31,0.0001
indoormark,31,0.0001
listed_status,31,0.0001
maxspeed:hgv:backward,31,0.0001
motorboat,31,0.0001
name:alt,31,0.0001
name:kw,31,0.0001
name:language,31,0.0001
name:simple,31,0.0001
name:uz,31,0.0001
name:yi,31,0.0001
official_name:lv,31,0.0001
par,31,0.0001
plant:count,31,0.0001
ramp:wheelchair,31,0.0001
s,31,0.0001
school:selective,31,0.0001
service:bicycle:rental,31,0.0001
service:vehicle:inspection,31,0.0001
Projet,30,0.0001
addr:village,30,0.0001
brand:en,30,0.0001
cap_sm_g1,30,0.0001
cave:ref,30,0.0001
cycleway:left:segregated,30,0.0001
flag_skip,30,0.0001
idp:camp_site_1,30,0.0001
maxspeed:lanes,30,0.0001
name:ro,30,0.0001
payment:paypal,30,0.0001
refugees,30,0.0001
source:addr:postcode,30,0.0001
stream,30,0.0001
toilet_med,30,0.0001
Operator type,29,0.0001
addresse,29,0.0001
alt_name:cs,29,0.0001
employees:morning,29,0.0001
hospital,29,0.0001
motorcycle:sales,29,0.0001
name:be-x-old,29,0.0001
name:gd,29,0.0001
name:haw,29,0.0001
official_name:vi,29,0.0001
person contact,29,0.0001
rank,29,0.0001
ref:acnp,29,0.0001
service:vehicle:diagnostics,29,0.0001
source:nanme,29,0.0001
surfacecondition,29,0.0001
tract_geoid,29,0.0001
water_slide,29,0.0001
Area,28,0.0001
Barriers:obstacle_canal_location,28,0.0001
Type,28,0.0001
access:conditional,28,0.0001
addr:inclusion,28,0.0001
backcountry,28,0.0001
demolished:shop,28,0.0001
handicap,28,0.0001
importance:tourism,28,0.0001
maxspeed:backward,28,0.0001
metal_bldg,28,0.0001
nine,28,0.0001
number:poultry,28,0.0001
official_name:el,28,0.0001
payment:telephone_cards,28,0.0001
runway,28,0.0001
seamark:light:1:nominal_range,28,0.0001
socket:type2:output,28,0.0001
website:menu,28,0.0001
Address:street,27,0.0001
Adress,27,0.0001
Cover_description,27,0.0001
MTFCC,27,0.0001
Quantity,27,0.0001
WDPA_ID:ref,27,0.0001
addr:interpolation,27,0.0001
address:street,27,0.0001
artist:wikidata,27,0.0001
building:walls,27,0.0001
busway:left,27,0.0001
diocese,27,0.0001
landuse_1,27,0.0001
map_type,27,0.0001
maxweightrating:hgv:conditional,27,0.0001
name:ak,27,0.0001
name:bm,27,0.0001
name:chr,27,0.0001
name:dz,27,0.0001
name:ee,27,0.0001
name:ff,27,0.0001
name:kab,27,0.0001
name:ki,27,0.0001
name:ks,27,0.0001
name:ksh,27,0.0001
name:lg,27,0.0001
name:ln,27,0.0001
name:lo,27,0.0001
name:mg,27,0.0001
name:or,27,0.0001
name:rn,27,0.0001
name:sg,27,0.0001
name:so,27,0.0001
name:sw,27,0.0001
name:ti,27,0.0001
name:tt,27,0.0001
name:yo,27,0.0001
name:zu,27,0.0001
naptan:Crossing,27,0.0001
opening_hours:signed,27,0.0001
quantité,27,0.0001
recycling:scrap_metal,27,0.0001
sand,27,0.0001
seasonable,27,0.0001
separated,27,0.0001
service:bicycle:pump:operational_status,27,0.0001
service:vehicle:oil_change,27,0.0001
source:alt_name:ht,27,0.0001
source:waterway,27,0.0001
soure:geometry,27,0.0001
un,27,0.0001
building_part,26,0.0001
camp_assessment_agency_name,26,0.0001
capacity:hgv,26,0.0001
crops,26,0.0001
faces,26,0.0001
fenced,26,0.0001
objectid,26,0.0001
parking:right:orientation,26,0.0001
payment:wire_transfer,26,0.0001
ref:ruian:addr,26,0.0001
seamark:light:group,26,0.0001
seamark:light:range,26,0.0001
source:classification,26,0.0001
source:length:url,26,0.0001
toilet_gd,26,0.0001
tram,26,0.0001
unsigned_ref,26,0.0001
Geometry_source_name,25,0.0001
address:country_national_code,25,0.0001
admin_1_nm,25,0.0001
alimentation,25,0.0001
beacon:frequency,25,0.0001
business,25,0.0001
conc_bldg,25,0.0001
crossing:bell,25,0.0001
disused:waterway,25,0.0001
name:etymology:description,25,0.0001
name:zh-Hant,25,0.0001
note:name,25,0.0001
official_name:id,25,0.0001
oneway:motorcycle,25,0.0001
ref:pol_id,25,0.0001
royal_cypher,25,0.0001
Access_FireBrigade,24,0.0001
Bldg_slope,24,0.0001
Front_Road,24,0.0001
HealthFacilityCapacityDescription,24,0.0001
HealthFacilityConstructionDescription,24,0.0001
HealthFacilityServiceDescription,24,0.0001
Short_Column,24,0.0001
addr:TW:dataset,24,0.0001
admin_name,24,0.0001
amenity+,24,0.0001
bldg,24,0.0001
cap_ind,24,0.0001
city_name,24,0.0001
cntry_name,24,0.0001
fips_cntry,24,0.0001
flag:name,24,0.0001
gmi_admin,24,0.0001
household,24,0.0001
infirmary,24,0.0001
is_in:municipality,24,0.0001
label_flag,24,0.0001
nohousenumber,24,0.0001
placement:backward,24,0.0001
playground:theme,24,0.0001
pop,24,0.0001
pop_class,24,0.0001
pop_rank,24,0.0001
port_id,24,0.0001
railway:signal:position,24,0.0001
ref:LOCODE,24,0.0001
sahana:address,24,0.0001
service:vehicle:brakes,24,0.0001
service_times:delivery:covid19,24,0.0001
source:reg_ref,24,0.0001
stry,24,0.0001
voltage:,24,0.0001
ALAND,23,0.0001
AWATER,23,0.0001
aerialway:bubble,23,0.0001
coach:conditional,23,0.0001
cycle_barrier,23,0.0001
cycleway:lanes,23,0.0001
etat_SAEP,23,0.0001
flag:wikidata,23,0.0001
fuel:lng,23,0.0001
geometrie souce name,23,0.0001
marketplace:authority,23,0.0001
marketplace_status,23,0.0001
name:bh,23,0.0001
name:id,23,0.0001
name:sa,23,0.0001
ohv,23,0.0001
parking:condition:both,23,0.0001
payment:google_pay,23,0.0001
railway:ssc,23,0.0001
razed:railway,23,0.0001
service:vehicle:electrical,23,0.0001
service:vehicle:used_car_sales,23,0.0001
structur,23,0.0001
tiger:zip_left_4,23,0.0001
tourist_bus:conditional,23,0.0001
ward no,23,0.0001
was:building,23,0.0001
weight,23,0.0001
Attribut_source-date,22,0.0001
Emergency_Toolkit,22,0.0001
Flood/Landslide_Riskzone,22,0.0001
Ground_Settlement,22,0.0001
Identification_Safe Places,22,0.0001
Pounding_Possibility,22,0.0001
Sufficient_Openspace,22,0.0001
addr:neighbourhood,22,0.0001
buliding,22,0.0001
flood_prone:water_mud,22,0.0001
geometrie source type,22,0.0001
hws_num,22,0.0001
maxweight:hgv,22,0.0001
note1,22,0.0001
official_name:ht,22,0.0001
operator:website,22,0.0001
payment:apple_pay,22,0.0001
post_box:type,22,0.0001
primary_user,22,0.0001
ref:nris,22,0.0001
restaurant,22,0.0001
seamark:harbour:category,22,0.0001
sou,22,0.0001
source d'alimentation,22,0.0001
source:ele,22,0.0001
street_name_transversale,22,0.0001
structure operationel,22,0.0001
tiger:name_direction_prefix_3,22,0.0001
track,22,0.0001
Attribute_source_name,21,0.0001
Sources,21,0.0001
adress street,21,0.0001
amenity_1,21,0.0001
brand:uk,21,0.0001
building_base_material:plastic_sheeting,21,0.0001
busway:right,21,0.0001
cycleway:lane,21,0.0001
cycleway:left:width,21,0.0001
damage_assessment_date,21,0.0001
faculty,21,0.0001
harbour,21,0.0001
motorcycle:repair,21,0.0001
name:als,21,0.0001
name:arz,21,0.0001
name:ast,21,0.0001
name:bcl,21,0.0001
name:bjn,21,0.0001
name:bpy,21,0.0001
name:bxr,21,0.0001
name:ceb,21,0.0001
name:crh,21,0.0001
name:cv,21,0.0001
name:cy,21,0.0001
name:diq,21,0.0001
name:dv,21,0.0001
name:ext,21,0.0001
name:fiu-vro,21,0.0001
name:fo,21,0.0001
name:frp,21,0.0001
name:gag,21,0.0001
name:gv,21,0.0001
name:hak,21,0.0001
name:hif,21,0.0001
name:ia,21,0.0001
name:ilo,21,0.0001
name:jv,21,0.0001
name:lmo,21,0.0001
name:ms,21,0.0001
name:na,21,0.0001
name:nah,21,0.0001
name:nds,21,0.0001
name:nv,21,0.0001
name:pam,21,0.0001
name:pih,21,0.0001
name:pms,21,0.0001
name:rw,21,0.0001
name:scn,21,0.0001
name:sco,21,0.0001
name:se,21,0.0001
name:sq,21,0.0001
name:su,21,0.0001
name:szl,21,0.0001
name:vec,21,0.0001
name:war,21,0.0001
name:wo,21,0.0001
place:area-alternate,21,0.0001
recycling:organic_waste,21,0.0001
roof:slope:direction,21,0.0001
royal_cypher:wikidata,21,0.0001
service:vehicle:repairs,21,0.0001
site_type,21,0.0001
source ,21,0.0001
tank_num,21,0.0001
telecom:medium,21,0.0001
toilets:handwashing,21,0.0001
vehicle:lanes:backward,21,0.0001
well_num,21,0.0001
Category,20,0.0001
Rooftop_ Watertank,20,0.0001
access:roof,20,0.0001
beacon:code,20,0.0001
building:max_level,20,0.0001
canal_roof_desc,20,0.0001
canoe,20,0.0001
cash_in,20,0.0001
change:lanes,20,0.0001
contact:youtube,20,0.0001
createdby,20,0.0001
doctors,20,0.0001
fuel:gasoline,20,0.0001
good_bldg,20,0.0001
highway_1,20,0.0001
klll:oid,20,0.0001
name:ss,20,0.0001
name:tibt,20,0.0001
not:brand:wikidata,20,0.0001
old_name:de,20,0.0001
opening_hours:url,20,0.0001
osak:identifier,20,0.0001
parking:condition:right,20,0.0001
path,20,0.0001
railway:signal:main:form,20,0.0001
railway:signal:main:function,20,0.0001
ramp:stroller,20,0.0001
recycling:paper_packaging,20,0.0001
service:bicycle:stand,20,0.0001
source_ref:CDC/USAID PMTCT Baseline,20,0.0001
uic_ref,20,0.0001
widow,20,0.0001
Barrier:obstacle_type,19,0.0
HOLDING_ID,19,0.0
Objet,19,0.0
Way,19,0.0
add:housenumber,19,0.0
addr street,19,0.0
alt_name:fr,19,0.0
amenity:police,19,0.0
block,19,0.0
company,19,0.0
construction:lanes,19,0.0
destroyed:access,19,0.0
destroyed:wheelchair,19,0.0
event,19,0.0
hyway,19,0.0
indoor:wall,19,0.0
info_date,19,0.0
old_name:en,19,0.0
parking:left:orientation,19,0.0
payment,19,0.0
payment:visa_debit,19,0.0
recycling:batteries,19,0.0
religion:denomination,19,0.0
screen,19,0.0
seamark:light:1,19,0.0
service:bicycle:second_hand,19,0.0
source:maxheight,19,0.0
stories,19,0.0
story,19,0.0
theatre:type,19,0.0
tidal,19,0.0
vehicle:lanes:forward,19,0.0
year,19,0.0
Highway,18,0.0
Payments,18,0.0
addr:municipality,18,0.0
architect:wikidata,18,0.0
banquet,18,0.0
bicycle:lanes,18,0.0
building:flats,18,0.0
cement,18,0.0
description:de,18,0.0
description:fr,18,0.0
destination:backward,18,0.0
dmage,18,0.0
elevator,18,0.0
fixme:ref,18,0.0
frequence,18,0.0
healthcare_departments:medical_laboratory,18,0.0
maxlength,18,0.0
motorcycle:parts,18,0.0
name:mt,18,0.0
not:inscription,18,0.0
not:tourism:artwork,18,0.0
number:cow_ox,18,0.0
payment:bitcoin:operator,18,0.0
population:date,18,0.0
real_ale,18,0.0
scope,18,0.0
seats:separated,18,0.0
service:bicycle:diy,18,0.0
source:gps,18,0.0
storage_tank:type,18,0.0
suite,18,0.0
surface:note,18,0.0
vehicle:lanes,18,0.0
was:shop,18,0.0
width:lanes,18,0.0
zone:tper,18,0.0
AttributeSourceDate,17,0.0
Inventory year,17,0.0
addr city,17,0.0
buiilding,17,0.0
buildig,17,0.0
building.colour,17,0.0
building:test,17,0.0
check_date:bench,17,0.0
company:size:FR,17,0.0
danage:event,17,0.0
depatement,17,0.0
destination:forward,17,0.0
destroyed:fee,17,0.0
destroyed:information,17,0.0
elephant,17,0.0
end_date,17,0.0
enforcement,17,0.0
gas_insulated,17,0.0
handrail:right,17,0.0
health_facility:number_of_beds,17,0.0
lift_gate:type,17,0.0
manometer,17,0.0
manual,17,0.0
name:arc,17,0.0
name:az-Arab,17,0.0
name:jbo,17,0.0
name:kk-Arab,17,0.0
name:syc,17,0.0
name:yue,17,0.0
roundabout,17,0.0
seamark:beacon_lateral:system,17,0.0
seamark:topmark:colour,17,0.0
seamark:topmark:shape,17,0.0
share_taxi,17,0.0
sour,17,0.0
telecom:internet,17,0.0
Heavy_Overhangs,16,0.0
Soft/Weak_Storey,16,0.0
addr:city:es,16,0.0
alt_name:hi,16,0.0
alt_name_3,16,0.0
bicycle_rental,16,0.0
capacity_lits,16,0.0
chimney,16,0.0
chimney:category,16,0.0
chimney:height,16,0.0
chimney:number,16,0.0
currency:USD,16,0.0
cyclestreet,16,0.0
eathquake:damage,16,0.0
forested,16,0.0
framing_system,16,0.0
high,16,0.0
idp:camp_status_20150503,16,0.0
is_in:region,16,0.0
kind,16,0.0
landfill_type:pit,16,0.0
name:ay,16,0.0
name:co,16,0.0
name:dsb,16,0.0
name:frr,16,0.0
name:ig,16,0.0
name:kg,16,0.0
name:lad,16,0.0
name:mhr,16,0.0
name:mrj,16,0.0
name:nds-nl,16,0.0
name:wa,16,0.0
name:zh-min-nan,16,0.0
nudism,16,0.0
official_name:no,16,0.0
payment:cryptocurrencies,16,0.0
pupils:morning,16,0.0
quality_bricks,16,0.0
rooftopwatertank,16,0.0
sahana:facility_status,16,0.0
sahana:phone_business,16,0.0
service:vehicle:batteries,16,0.0
socket:type2:current,16,0.0
socket:type2_combo,16,0.0
status operationel,16,0.0
task_id,16,0.0
text1,16,0.0
tiger:zip_left_5,16,0.0
tiger:zip_right_4,16,0.0
was:railway,16,0.0
wikipedia:de,16,0.0
Earthquake_Resistant_Bldg,15,0.0
Fax,15,0.0
Humanitarian:Road:Security,15,0.0
Suite,15,0.0
UNIT_ID,15,0.0
add:city,15,0.0
addr:parentstreet,15,0.0
addr:suite,15,0.0
alt_name:zh,15,0.0
artist:wikipedia,15,0.0
bell_tower,15,0.0
buildig:bay:y,15,0.0
building:frame:material,15,0.0
building:wall:material,15,0.0
city:right,15,0.0
city_limit,15,0.0
communication:mast,15,0.0
csp:globalid,15,0.0
csp:unitcode,15,0.0
damage_prone,15,0.0
descriptio,15,0.0
diet:halal,15,0.0
hospital_facility:access,15,0.0
map_quality,15,0.0
motorcycle:rental,15,0.0
name ,15,0.0
ncn,15,0.0
not:name:notes,15,0.0
openplaques:id,15,0.0
organization,15,0.0
ownership,15,0.0
payment:electronic_purses,15,0.0
personne_contact,15,0.0
phone_emergency,15,0.0
recycling:cooking_oil,15,0.0
recycling:newspaper,15,0.0
region:right,15,0.0
seamark:beacon_lateral:category,15,0.0
service:vehicle:body_repair,15,0.0
sidewalk:right:bicycle,15,0.0
socket:type2_combo:output,15,0.0
source:height,15,0.0
source:location,15,0.0
telecom:radio,15,0.0
temporary,15,0.0
unclassified road,15,0.0
warehouse_unit_area,15,0.0
was:amenity,15,0.0
was:brand,15,0.0
was:brand:wikidata,15,0.0
#Chevronmissingmaps,14,0.0
AREAID,14,0.0
Barrier,14,0.0
Keywords,14,0.0
abandoned:aeroway,14,0.0
addr:electronique,14,0.0
adresse,14,0.0
athletics,14,0.0
boundary_type,14,0.0
bridge:support,14,0.0
busway:both,14,0.0
capacite,14,0.0
capital_ISO3166-1,14,0.0
check_date:smoothness,14,0.0
contact personne,14,0.0
crop8:name,14,0.0
crop8:percentage,14,0.0
crop8:time,14,0.0
currency:LTC,14,0.0
cutline,14,0.0
dance:teaching,14,0.0
depot,14,0.0
diet:meat,14,0.0
hfac_beds,14,0.0
household:water:well,14,0.0
id:db_ctc,14,0.0
laundry_service,14,0.0
livestock:fish,14,0.0
meadlsc_description,14,0.0
navigationaid,14,0.0
official_name:sr,14,0.0
plant:number,14,0.0
platforms,14,0.0
production,14,0.0
proposed:oneway,14,0.0
recycling:cartons,14,0.0
ref:new,14,0.0
rehab_work,14,0.0
scolar district,14,0.0
seamark:light:sequence,14,0.0
service:vehicle:new_car_sales,14,0.0
service:vehicle:wheels,14,0.0
socket:type1,14,0.0
source.geometry,14,0.0
source2:date,14,0.0
telescope:type,14,0.0
tiger:name_direction_suffix_3,14,0.0
verge,14,0.0
water_point,14,0.0
wholesale,14,0.0
21 mai 2010,13,0.0
Geometie _source_type,13,0.0
Humanitarian:Obstacle:Type,13,0.0
Poundings,13,0.0
REMARK,13,0.0
Tiger:HYDROID,13,0.0
Visible_grd_settlement,13,0.0
_LINEARID_,13,0.0
addr:substreet,13,0.0
address:streeet,13,0.0
bathing,13,0.0
boundary:imagery,13,0.0
building:materials,13,0.0
bulding,13,0.0
currency:BCH,13,0.0
drive_in,13,0.0
employees_non_medical,13,0.0
fee:conditional,13,0.0
geonames:id,13,0.0
heigth,13,0.0
marketplace:open_air,13,0.0
mayor,13,0.0
name:eml,13,0.0
name:zh2,13,0.0
ncn_ref,13,0.0
official_name:eo,13,0.0
official_name:ne,13,0.0
official_name:ru,13,0.0
old_addr:city,13,0.0
old_addr:housenumber,13,0.0
old_addr:street,13,0.0
paiement,13,0.0
pati,13,0.0
pet,13,0.0
pressure,13,0.0
proposed:cycleway,13,0.0
recycling:shoes,13,0.0
ref:US:EIA,13,0.0
shop:present,13,0.0
ski,13,0.0
source:alt_name:en,13,0.0
source:bridge,13,0.0
source:hospital_facility:access,13,0.0
source:official_name,13,0.0
source_ref:name,13,0.0
survey,13,0.0
voltage-low,13,0.0
waste_type:building_waste,13,0.0
Building_in_Slopeland,12,0.0
COMBZN,12,0.0
Damage_status,12,0.0
Date Geometie,12,0.0
Geometrie source type,12,0.0
Heavy_overhangs,12,0.0
addr:,12,0.0
aerodrome,12,0.0
animal_shelter,12,0.0
building_base_material:concrete,12,0.0
bus_routes,12,0.0
communication:microwave,12,0.0
communication:television,12,0.0
currency:BTC,12,0.0
cyclestreets_id,12,0.0
cycleway:lanes:forward,12,0.0
diet:organic,12,0.0
district,12,0.0
dock,12,0.0
duration,12,0.0
flood_prone:water_detritus,12,0.0
fuel:petrol,12,0.0
hfac_current_floor_space_use,12,0.0
higway,12,0.0
hotel,12,0.0
idp:status_2015,12,0.0
kitchen_area,12,0.0
lawyer,12,0.0
longueure,12,0.0
medecin,12,0.0
monitoring:water_level,12,0.0
name:,12,0.0
name:zh3,12,0.0
nepal_earthquake_2015,12,0.0
note:odbl,12,0.0
occurrence,12,0.0
opening_hours:unspecified,12,0.0
parcel_pickup,12,0.0
payments,12,0.0
personnel_suport,12,0.0
plots,12,0.0
retaining wall,12,0.0
sccgis:objectid,12,0.0
scolar type,12,0.0
service:bicycle:chain_tool,12,0.0
service:vehicle:air_conditioning,12,0.0
service:vehicle:car_parts,12,0.0
snowmobile,12,0.0
socket:chademo,12,0.0
source:amenity,12,0.0
source:name:es,12,0.0
source:old_name,12,0.0
source:operator,12,0.0
source_ref:capacity,12,0.0
statut,12,0.0
tractor,12,0.0
tree,12,0.0
user_defined,12,0.0
verified,12,0.0
Aware_Disaster_Risk,11,0.0
GPS_Mission_Preparation,11,0.0
SOURCE,11,0.0
Type de source electricque,11,0.0
Website,11,0.0
addr:street:ne,11,0.0
ammenity,11,0.0
attr:steet,11,0.0
attribute _source_type,11,0.0
base_material,11,0.0
beer_garden,11,0.0
bridge_base_material,11,0.0
buiding,11,0.0
building2,11,0.0
check_date:handrail,11,0.0
culvert,11,0.0
damage:,11,0.0
diaper,11,0.0
disused:tourism,11,0.0
elevation,11,0.0
fixme:CNIGS,11,0.0
floodable_bldg,11,0.0
generator:output:steam,11,0.0
gns:dsg,11,0.0
health_facility:operational_status,11,0.0
hour_off,11,0.0
hour_on,11,0.0
idp:status,11,0.0
impassible,11,0.0
irrigation:area,11,0.0
localite,11,0.0
map_extent,11,0.0
maxlength:hgv_articulated,11,0.0
medical_service_description,11,0.0
na,11,0.0
name:absent,11,0.0
name:ha,11,0.0
name:to,11,0.0
name:tok,11,0.0
name:tzl,11,0.0
name:zh-classical,11,0.0
nombre,11,0.0
note:source_ref:name,11,0.0
payment:litecoin,11,0.0
pedestrian,11,0.0
polling_station,11,0.0
practicability:4wd,11,0.0
priority,11,0.0
public_bookcase:type,11,0.0
rating,11,0.0
recycling:freq,11,0.0
recycling:small_appliances,11,0.0
ref:expressoil,11,0.0
safe_place,11,0.0
safety_inspection,11,0.0
scvwd:FACILITY,11,0.0
so,11,0.0
socket:type3,11,0.0
socket:type3:current,11,0.0
socket:type3:output,11,0.0
sogebank,11,0.0
source:architect,11,0.0
source:name:oc,11,0.0
source:ushahidi,11,0.0
source_20150503,11,0.0
statue,11,0.0
telescope:diameter,11,0.0
updated,11,0.0
war_memorial,11,0.0
waste_type:industrial_polluting,11,0.0
website2,11,0.0
website:alt_url,11,0.0
AGNCY_NAME,10,0.0
Address Line 2,10,0.0
COMMUNE,10,0.0
DEPARTEMEN,10,0.0
KSJ2:coordinate,10,0.0
KSJ2:lat,10,0.0
KSJ2:long,10,0.0
Key Info:,10,0.0
Operateur,10,0.0
Short Column,10,0.0
Tole_Name,10,0.0
URL,10,0.0
abandoned:ref,10,0.0
ameinity,10,0.0
animal_breeding,10,0.0
baby,10,0.0
bakery,10,0.0
bridge_name,10,0.0
brownfield:source,10,0.0
cargo,10,0.0
class:np,10,0.0
communication:lte,10,0.0
condition:np,10,0.0
contact_personne,10,0.0
contributed_by,10,0.0
crossing_1,10,0.0
cycleway:right:width,10,0.0
destination:ref:backward,10,0.0
emergency_telephone_code,10,0.0
facilities,10,0.0
fair_trade,10,0.0
gate,10,0.0
gauge:note,10,0.0
handrail:left,10,0.0
health_facility,10,0.0
highway:obstacle,10,0.0
infimieres,10,0.0
kids_area,10,0.0
lacounty:ain,10,0.0
lacounty:bld_id,10,0.0
livestock,10,0.0
med_bldg,10,0.0
motorcycle:clothes,10,0.0
moved,10,0.0
name:ja_rm,10,0.0
no_of_households,10,0.0
no_of_individuals,10,0.0
note:ja,10,0.0
nursery,10,0.0
nysgissam:nysaddresspointid,10,0.0
parcel_mail_in,10,0.0
parking:condition:both:time_interval,10,0.0
parking:condition:left,10,0.0
parking:condition:left:time_interval,10,0.0
personne de support,10,0.0
phone_wash,10,0.0
population:source,10,0.0
practicability:truck+trailer,10,0.0
prominence,10,0.0
public_transportation,10,0.0
recycling:beverage_cartons,10,0.0
ref:linz:address_id,10,0.0
roof,10,0.0
roof:type:height,10,0.0
scolar_zone,10,0.0
seamark:light:1:character,10,0.0
seamark:light:1:period,10,0.0
seamark:light:1:sector_end,10,0.0
seamark:light:1:sector_start,10,0.0
service:vehicle:glass,10,0.0
service:vehicle:motor,10,0.0
services,10,0.0
shoes,10,0.0
side,10,0.0
signalisation,10,0.0
source:discussion,10,0.0
source:highway,10,0.0
source:is_in:city,10,0.0
source:postal_code,10,0.0
source_note,10,0.0
source_ref:addr,10,0.0
source_ref:alt_name,10,0.0
statut_operationnel,10,0.0
taxi:type,10,0.0
terraced,10,0.0
traffic_sign:forward,10,0.0
underground,10,0.0
was:brand:wikipedia,10,0.0
water_tank,10,0.0
Atelier,9,0.0
Departement,9,0.0
Espace,9,0.0
FIXME:name,9,0.0
Humanitarian:Road:Practicability,9,0.0
Office,9,0.0
Owner,9,0.0
TNRIS:OBJECTID,9,0.0
_ADM4_NAME_,9,0.0
abandoned:leisure,9,0.0
addr:flats,9,0.0
aerialway:occupancy,9,0.0
alt_boundary,9,0.0
alt_name:2,9,0.0
atv,9,0.0
aware,9,0.0
bank,9,0.0
bath:type,9,0.0
branch:type,9,0.0
building:architecture,9,0.0
cap_sm,9,0.0
check_date:segregated,9,0.0
clinic,9,0.0
communication:radio,9,0.0
community,9,0.0
community_centre,9,0.0
community_centre:for,9,0.0
contact_phone,9,0.0
coordinates,9,0.0
couplings,9,0.0
course,9,0.0
court_sm,9,0.0
delivery:description:it,9,0.0
description:it:covid19,9,0.0
destroyed:leisure,9,0.0
diet:mediterranean,9,0.0
disused:aeroway,9,0.0
disused:name,9,0.0
education:students,9,0.0
emer_toolkit,9,0.0
famille,9,0.0
fire_hydrant:diameter,9,0.0
flood/landslide_risk,9,0.0
food,9,0.0
fort,9,0.0
gate:type,9,0.0
geometrie   source date,9,0.0
idp:camp,9,0.0
lesiure,9,0.0
live_music,9,0.0
managed,9,0.0
marketplace:covered,9,0.0
membership,9,0.0
memorial:conflict,9,0.0
operateur,9,0.0
operator_short,9,0.0
payment:telepass,9,0.0
pipe_type,9,0.0
pop_estimates_area,9,0.0
position,9,0.0
raduis,9,0.0
razed:power,9,0.0
recycling:magazines,9,0.0
removed:power,9,0.0
resolution,9,0.0
seamark:light:1:height,9,0.0
service:bicycle:cleaning,9,0.0
service:vehicle:transmission_repair,9,0.0
soft:weakStorey,9,0.0
source:,9,0.0
source:capacity,9,0.0
source:geomatry,9,0.0
source:landuse,9,0.0
source:sqkm,9,0.0
source_ref:is_in:city,9,0.0
sport_1,9,0.0
sqkm,9,0.0
telephone,9,0.0
tourism_1,9,0.0
transport,9,0.0
twitter,9,0.0
vulnerability,9,0.0
way,9,0.0
wikimedia commons,9,0.0
xmas:feature,9,0.0
yes,9,0.0
# of Households,8,0.0
# of Individuals,8,0.0
Facebook,8,0.0
Note,8,0.0
Operator,8,0.0
Pers Resp,8,0.0
Tel,8,0.0
UFID,8,0.0
WFP:project,8,0.0
activite,8,0.0
addr:streetnumber,8,0.0
alt_name_4,8,0.0
alt_source,8,0.0
berge,8,0.0
books,8,0.0
check_date:tracktype,8,0.0
chowk,8,0.0
cinema:3D,8,0.0
clothes:underwear,8,0.0
contact:google_plus,8,0.0
contact:unit,8,0.0
cycle,8,0.0
destroyed:surface,8,0.0
dilution_of_precision,8,0.0
disputed,8,0.0
evacuation_center,8,0.0
fence,8,0.0
fire_hydrant:coupling_type,8,0.0
fireplace,8,0.0
fishing,8,0.0
flloded_bldg,8,0.0
hospital_specialization,8,0.0
hov:lanes,8,0.0
idp:camp_condition,8,0.0
indoor>level,8,0.0
landslide_prone,8,0.0
landu,8,0.0
lcn_ref,8,0.0
livestock:sty,8,0.0
maxspeed:night,8,0.0
memorial:type,8,0.0
minspeed,8,0.0
nae,8,0.0
old_name1,8,0.0
old_name2,8,0.0
old_name:it,8,0.0
operator_damage,8,0.0
organisation,8,0.0
payment:nfc,8,0.0
planned,8,0.0
post-quake build,8,0.0
recycling:books,8,0.0
recycling:electrical_appliances,8,0.0
recycling:garden_waste,8,0.0
ref:IUCN,8,0.0
refuge,8,0.0
sahana:is_in:city,8,0.0
sahana:name,8,0.0
seamark,8,0.0
seamark:light:1:range,8,0.0
service:vehicle:muffler,8,0.0
service:vehicle:tires,8,0.0
shooting,8,0.0
sigle,8,0.0
source:construction,8,0.0
source:geometzry,8,0.0
ssr:stedsnr,8,0.0
surface_survey,8,0.0
survey_point,8,0.0
temple,8,0.0
tiger:ALAND,8,0.0
tiger:AWATER,8,0.0
tracktpye,8,0.0
typology,8,0.0
undefined,8,0.0
unsure,8,0.0
,7,0.0
AGNCY_TYP,7,0.0
Bldgnearslope,7,0.0
Condition,7,0.0
DCRN,7,0.0
Emergency_toolkit,7,0.0
FIXME:hazmat,7,0.0
House No,7,0.0
KSJ2:curve_id,7,0.0
KSJ2:filename,7,0.0
Open_space,7,0.0
Payments Accepted,7,0.0
Point,7,0.0
VDC,7,0.0
